"Category","Date","Location"
"Cases","April 24, 2014","Macenta"
"Cases","April 24, 2014","Lofa"
"Cases","April 24, 2014","Kissidougou"
"Cases","April 24, 2014","Gueckedou"
"Cases","April 24, 2014","Grand Gedeh"
"Cases","April 24, 2014","Grand Cape Mount"
"Cases","April 24, 2014","Dinguiraye"
"Cases","April 24, 2014","Montserrado"
"Cases","April 24, 2014","Dabola"
"Cases","April 24, 2014","Conakry"
"Cases","April 24, 2014","Bong"
"Cases","April 26, 2014","National"
"Cases","April 26, 2014","Montserrado"
"Cases","April 26, 2014","Margibi"
"Cases","April 26, 2014","Macenta"
"Cases","April 26, 2014","Lofa"
"Cases","April 26, 2014","Kissidougou"
"Cases","April 26, 2014","Gueckedou"
"Cases","April 26, 2014","Grand Gedeh"
"Cases","April 26, 2014","Grand Cape Mount"
"Cases","April 26, 2014","Dinguiraye"
"Cases","April 26, 2014","Dabola"
"Cases","April 26, 2014","Conakry"
"Cases","April 26, 2014","Nimba"
"Cases","April 26, 2014","Bong"
"Cases","May 01, 2014","Nimba"
"Cases","May 01, 2014","National"
"Cases","May 01, 2014","Margibi"
"Cases","May 01, 2014","Macenta"
"Cases","May 01, 2014","Lofa"
"Cases","May 01, 2014","Kissidougou"
"Cases","May 01, 2014","Gueckedou"
"Cases","May 01, 2014","Grand Gedeh"
"Cases","May 01, 2014","Grand Cape Mount"
"Cases","May 01, 2014","Dinguiraye"
"Cases","May 01, 2014","Montserrado"
"Cases","May 01, 2014","Dabola"
"Cases","May 01, 2014","Conakry"
"Cases","May 01, 2014","Bong"
"Cases","May 02, 2014","National"
"Cases","May 02, 2014","Montserrado"
"Cases","May 02, 2014","Margibi"
"Cases","May 02, 2014","Macenta"
"Cases","May 02, 2014","Lofa"
"Cases","May 02, 2014","Kissidougou"
"Cases","May 02, 2014","Gueckedou"
"Cases","May 02, 2014","Grand Gedeh"
"Cases","May 02, 2014","Grand Cape Mount"
"Cases","May 02, 2014","Dinguiraye"
"Cases","May 02, 2014","Dabola"
"Cases","May 02, 2014","Conakry"
"Cases","May 02, 2014","Nimba"
"Cases","May 02, 2014","Bong"
"Cases","May 03, 2014","Nimba"
"Cases","May 03, 2014","National"
"Cases","May 03, 2014","Montserrado"
"Cases","May 03, 2014","Margibi"
"Cases","May 03, 2014","Macenta"
"Cases","May 03, 2014","Lofa"
"Cases","May 03, 2014","Kissidougou"
"Cases","May 03, 2014","Gueckedou"
"Cases","May 03, 2014","Grand Gedeh"
"Cases","May 03, 2014","Grand Cape Mount"
"Cases","May 03, 2014","Dinguiraye"
"Cases","May 03, 2014","Dabola"
"Cases","May 03, 2014","Conakry"
"Cases","May 03, 2014","Bong"
"Cases","May 05, 2014","Nimba"
"Cases","May 05, 2014","National"
"Cases","May 05, 2014","Montserrado"
"Cases","May 05, 2014","Margibi"
"Cases","May 05, 2014","Macenta"
"Cases","May 05, 2014","Lofa"
"Cases","May 05, 2014","Kissidougou"
"Cases","May 05, 2014","Gueckedou"
"Cases","May 05, 2014","Grand Gedeh"
"Cases","May 05, 2014","Grand Cape Mount"
"Cases","May 05, 2014","Dinguiraye"
"Cases","May 05, 2014","Dabola"
"Cases","May 05, 2014","Conakry"
"Cases","May 05, 2014","Bong"
